id,index,host_is_superhost,host_total_listings_count,host_identity_verified,colonia,alcaldía,código_postal,latitude,longitude,accommodates,bathrooms,bedrooms,beds,precio,security_deposit,cleaning_fee,guests_included,extra_people,number_of_reviews,first_review,last_review,review_scores_rating,insta_book,flexible_cancel,Tipo Listado,pets_allowed,gym,breakfast,washer,dryer,parking,elevator,pool,smoking_allowed,hot_tub,ad_duration,Entire home/apt,ln_price,nombre_x,pi_dist,nombre_y,metro_distance
58955,17,0,1,1,Roma Norte,Cuauhtémoc,6700,19.42292,-99.15775,2,1.5,1,1,1613,0,474,2,474,39,26/12/11,28/5/19,100,0,0,0,0,0,0,0,1,1,1,0,0,0,90.64662519,1,7.385851078,Arena México,0.679148146,Cuauhtémoc_1_2,0.452855556
67703,44,1,4,1,Hipódromo,Cuauhtémoc,6100,19.41375,-99.17028,4,1,2,3,1802,3794,0,2,285,39,17/11/11,24/2/19,98,0,0,1,0,0,0,1,1,0,0,0,0,0,91.92796567,1,7.496652438,La Condesa,0.717690808,Sevilla,0.906473882
70644,80,1,4,1,Coyoacán,Coyoacán,4100,19.35601,-99.16167,2,1,1,1,1043,5691,1138,2,0,92,14/2/12,12/4/19,98,1,0,1,0,0,0,1,1,1,0,0,0,0,89.00388098,1,6.949856455,Museo Frida Kahlo,0.125432033,Coyoacán,1.11037451
171109,104,1,2,0,Nápoles,Benito Juárez,,19.39549,-99.17616,2,1,1,1,285,0,0,1,150,59,18/3/14,20/6/19,97,0,0,1,0,0,0,1,1,1,1,0,0,0,63.93560443,0,5.65248918,La Condesa,2.075343143,San Pedro de Los Pinos,1.109404595
180808,141,1,2,1,Juárez,Cuauhtémoc,6600,19.42428,-99.16843,2,1.5,1,1,1024,0,664,1,379,34,25/4/12,15/6/19,94,1,0,1,0,0,0,0,1,1,1,0,0,0,86.67118421,1,6.931471806,Monumento a los Héroes de la Independencia,0.315715987,Sevilla,0.358963218
187030,164,1,6,1,Condesa,Cuauhtémoc,,19.41033,-99.17647,6,1,2,3,1613,12141,0,1,0,92,1/11/11,9/7/19,91,0,0,1,0,0,0,1,1,1,0,0,0,0,92.45364381,1,7.385851078,La Condesa,0.429188507,Patriotismo_1_2,0.566305401
194937,194,1,6,1,Condesa,Cuauhtémoc,,19.41113,-99.17762,3,1,1,1,1613,10244,0,1,0,54,7/12/11,1/7/19,92,0,0,1,0,0,0,1,1,1,0,0,0,0,91.27086798,1,7.385851078,La Condesa,0.339087292,Juanacatlán,0.506231008
198778,224,0,2,1,Condesa,Cuauhtémoc,,19.41395,-99.17948,4,1,2,2,911,3794,474,1,95,161,13/9/11,17/6/19,92,0,0,1,1,0,0,0,1,1,0,0,0,0,94.06353313,1,6.814542897,La Condesa,0.248803528,Juanacatlán,0.295502956
204887,254,1,2,1,Escandón,Miguel Hidalgo,,19.40409,-99.17731,2,1,1,1,797,10000,300,1,0,23,1/7/12,30/5/19,92,0,0,1,0,0,1,1,0,0,0,0,0,0,84.46990698,1,6.680854679,La Condesa,1.117438811,Patriotismo_1_2,0.206426112
245507,291,1,21,1,Juárez,Cuauhtémoc,6600,19.4251,-99.17067,3,1,1,1,1309,2846,379,2,285,251,17/10/11,23/6/19,96,1,0,1,0,0,0,1,1,1,0,0,0,0,92.94646707,1,7.177018766,Monumento a los Héroes de la Independencia,0.376038782,Sevilla,0.356161142
246057,321,1,21,1,Juárez,Cuauhtémoc,6600,19.42373,-99.1714,5,2,2,4,1423,2846,285,2,285,232,2/11/11,6/7/19,98,0,0,1,0,0,0,0,1,1,0,0,0,0,92.42078893,1,7.260522598,Monumento a los Héroes de la Independencia,0.532266565,Sevilla,0.215229736
255354,345,0,1,1,,Azcapotzalco,,19.49886,-99.19172,3,0,1,1,628,0,0,1,0,10,17/11/18,14/6/19,100,0,1,0,0,0,0,0,0,0,0,0,0,0,7.950881948,0,6.442540166,Polanco,7.227987337,Tezozómoc,0.656261012
261897,374,1,1,1,Roma Norte,Cuauhtémoc,6700,19.41835,-99.17363,3,1,1,2,1176,1897,569,2,569,323,1/1/12,16/6/19,95,1,0,0,0,0,0,0,1,1,0,0,1,0,90.44949588,1,7.069874128,La Condesa,0.593178187,Chapultepec,0.375489891
281134,404,0,10,0,Condesa,Cuauhtémoc,,19.41125,-99.17634,3,1,1,1,2751,0,0,1,500,6,5/1/15,7/4/19,97,0,0,1,0,0,0,1,1,1,0,0,0,0,54.30912339,1,7.919719761,La Condesa,0.331695155,Juanacatlán,0.627972894
298873,442,1,1,0,Centro Histórico,Cuauhtémoc,6000,19.43327,-99.14527,4,2,2,2,1802,0,0,4,379,118,19/4/12,9/6/19,96,0,0,0,0,1,0,1,1,1,1,1,0,0,86.86831352,1,7.496652438,Alameda Central,0.300664831,Juárez_1_3,0.256644268
323030,464,0,2,1,Condesa,Cuauhtémoc,,19.4157,-99.17747,4,1,2,3,911,3794,474,1,95,175,31/3/12,28/5/19,93,0,0,1,1,0,0,0,1,0,0,0,0,0,87.49255632,1,6.814542897,La Condesa,0.176868316,Chapultepec,0.514706739
324769,495,1,1,1,,Miguel Hidalgo,11479,19.45809,-99.19258,6,2,2,3,664,9485,569,2,190,34,1/6/13,6/7/19,95,1,0,0,0,1,0,1,1,1,1,0,0,0,73.46352081,1,6.498282149,Polanco,2.704521256,Tacuba,0.428628531
325812,532,0,1,0,Centro Histórico,Cuauhtémoc,6000,19.43453,-99.14675,2,1,1,2,645,0,360,1,285,102,16/2/14,23/2/19,96,0,1,0,0,1,0,0,1,0,1,1,0,0,64.92125095,0,6.469250317,Alameda Central,0.315679228,Juárez_1_3,0.164002953
331788,554,0,1,0,Roma Norte,Cuauhtémoc,6700,19.41942,-99.17373,2,1,1,1,1461,2276,379,1,0,308,13/3/12,6/7/19,96,1,0,0,0,0,0,0,1,0,0,0,0,0,88.08394423,1,7.286876412,La Condesa,0.685274433,Chapultepec,0.313624781
370092,584,0,3,0,Hipódromo,Cuauhtémoc,,19.40179,-99.17009,4,1,0,2,645,4000,509,3,96,262,4/4/12,1/7/19,90,0,0,1,0,0,0,1,1,1,1,0,0,0,87.36113678,1,6.469250317,La Condesa,1.557824816,Chilpancingo_1_2,0.478786404
386265,605,0,3,1,Coyoacán,Coyoacán,4040,19.34303,-99.15425,2,1,1,1,266,0,256,1,0,8,13/5/14,26/3/19,90,0,0,1,0,0,0,1,1,1,1,0,0,0,62.09573092,0,5.583496309,Coyoacán,1.210019907,Tasqueña,1.387860269
397408,645,1,1,1,Polanco,Miguel Hidalgo,,19.43858,-99.21286,3,1,2,2,911,3794,228,2,228,144,4/6/12,30/6/19,97,0,0,0,0,0,0,1,1,0,0,0,0,0,85.35698885,1,6.814542897,Polanco,1.881920738,Cuatro Caminos,2.216388993
419110,674,0,1,1,Condesa,Cuauhtémoc,6170,19.41238,-99.17722,2,1,1,1,531,0,95,2,341,52,19/7/16,2/6/19,97,1,0,0,0,0,0,1,1,1,0,0,0,0,35.87753342,0,6.274762021,La Condesa,0.196333359,Juanacatlán,0.511644485
422159,707,0,4,1,Postal,Benito Juárez,3530,19.38942,-99.1358,2,1,1,1,417,0,200,2,100,7,17/1/18,9/5/19,100,1,1,1,1,0,0,0,0,1,0,0,0,0,17.90591183,0,6.033086222,Arena México,4.235727877,Villa de Cortés,0.367351305
454693,734,1,1,0,Hipódromo,Cuauhtémoc,6140,19.40618,-99.17342,4,1.5,1,2,1138,7588,911,2,379,196,20/7/12,10/6/19,98,0,0,0,0,0,0,0,1,0,1,0,0,0,83.84566418,1,7.037027615,La Condesa,0.966024687,Patriotismo_1_2,0.532830289
480752,764,1,2,0,Condesa,Cuauhtémoc,6140,19.41766,-99.1764,4,1,2,3,1669,9485,1043,1,285,162,3/1/13,10/7/19,94,0,0,1,0,0,0,1,1,0,1,0,0,0,78.35889854,1,7.419979924,La Condesa,0.397837033,Chapultepec,0.28920651
489774,795,0,15,1,Polanco,Miguel Hidalgo,11550,19.4435,-99.20307,6,2,2,3,1328,0,759,3,152,38,12/7/15,10/5/19,95,0,0,1,0,1,0,1,1,1,1,1,0,1,48.13240518,1,7.19142933,Polanco,1.321794324,San Joaquín,1.222032174
561743,824,0,2,1,Condesa,Cuauhtémoc,,19.40735,-99.18078,4,1,1,1,1195,0,200,1,0,2,2/1/15,14/4/19,100,0,0,1,0,1,0,1,1,0,0,0,0,0,54.40768804,1,7.085901464,La Condesa,0.847084595,Patriotismo_1_2,0.311306038
567176,859,0,1,1,Santa María La Ribera,Cuauhtémoc,6400,19.4545,-99.15792,1,1,1,1,209,0,150,1,100,21,1/8/15,31/3/19,99,0,0,0,0,0,0,1,0,0,0,0,0,0,47.4753075,0,5.342334252,Monumento y Museo de la Revolución,2.139058128,Buenavista_1_4,1.06595035
571166,884,0,10,0,Condesa,Cuauhtémoc,6140,19.41131,-99.1769,3,1,1,1,2504,3982,0,2,500,1,8/2/19,8/2/19,80,0,0,1,0,0,0,1,1,1,0,0,0,0,5.191071685,1,7.825644732,La Condesa,0.3157337,Juanacatlán,0.569993201
613181,900,0,2,1,Centro Histórico,Cuauhtémoc,6000,19.43888,-99.13617,4,1,2,3,1878,0,171,1,0,161,9/8/12,13/7/19,95,1,0,1,1,0,0,0,1,0,0,0,1,0,83.1885665,1,7.53796266,Murales de Diego Rivera en la Secretaría de Educación Pública,0.484169304,Allende,0.382697243
618711,945,1,5,1,Anzures,Miguel Hidalgo,11460,19.44566,-99.18688,1,1,1,1,190,0,0,1,97,60,19/9/12,9/4/19,96,0,0,1,0,0,0,1,1,0,0,0,0,0,81.84151625,0,5.247024072,Polanco,1.592580099,San Joaquín,0.495684259
628081,974,1,1,0,Roma Norte,Cuauhtémoc,6700,19.41789,-99.17209,3,1,1,1,1631,1518,417,2,341,206,11/12/12,7/7/19,97,0,0,0,0,0,0,0,1,0,0,0,1,0,79.11456087,1,7.396948603,La Condesa,0.671298608,Sevilla,0.467046046
635324,999,1,2,1,Campestre/Guadalupe Inn,Álvaro Obregón,,19.35323,-99.19343,2,1,1,1,759,1897,0,1,0,134,2/12/12,13/7/19,98,0,1,1,0,0,0,1,1,1,0,0,0,0,79.41025483,1,6.632001777,San Ángel,0.865345559,Barranca del Muerto,1.03050925
674320,1034,1,2,1,Hipódromo,Cuauhtémoc,6100,19.40897,-99.17146,5,2,2,2,2258,1897,474,4,379,181,22/9/12,7/7/19,96,1,0,1,0,0,0,1,1,1,1,0,0,0,81.7429516,1,7.722234745,La Condesa,0.825749922,Chilpancingo_1_2,0.486693755
691019,1073,0,3,1,Centro Histórico,Cuauhtémoc,6000,19.4314,-99.14397,6,2,2,2,1613,3415,569,4,190,213,1/10/12,8/7/19,94,1,0,1,0,1,0,1,1,1,1,1,0,0,81.44725764,1,7.385851078,Torre Latinoamericana,0.448279423,San Juan de Letrán,0.297973686
696031,1095,0,3,1,Anzures,Miguel Hidalgo,11460,19.44298,-99.18343,4,1,2,2,930,3794,474,3,95,141,2/1/13,13/5/19,91,0,0,1,0,0,0,1,1,1,1,0,0,0,78.39175342,1,6.835184586,Polanco,1.624476931,San Joaquín,0.902639804
696037,1125,0,3,1,Anzures,Miguel Hidalgo,11460,19.44284,-99.18504,6,2,3,3,1480,3794,569,6,190,35,31/10/12,9/2/19,91,0,0,1,0,0,0,1,1,1,1,0,0,0,80.46161112,1,7.299797367,Polanco,1.48531385,San Joaquín,0.750412418
712611,1154,0,2,1,Roma Sur,Cuauhtémoc,6700,19.41031,-99.16434,4,1,1,1,1233,2846,360,2,854,146,10/1/13,8/2/19,88,1,0,1,0,0,0,1,1,1,0,0,0,0,78.12891435,1,7.117205503,La Condesa,1.405072637,Chilpancingo_1_2,0.6548453
714392,1185,0,1,1,Polanco,Miguel Hidalgo,11520,19.43648,-99.18578,2,1,1,1,664,2014,395,2,0,67,27/11/12,27/6/19,95,0,0,0,1,0,0,0,1,1,1,0,0,0,79.57452925,1,6.498282149,Polanco,1.067189843,Polanco,0.628236703
729898,1214,1,21,1,Hipódromo,Cuauhtémoc,6100,19.41374,-99.16664,3,1,1,1,1707,3794,379,2,285,240,20/12/12,30/6/19,97,1,0,1,0,0,0,0,0,0,0,0,0,0,78.81886692,1,7.442492723,La Condesa,1.098768157,Chilpancingo_1_2,0.90421592
736107,1247,0,1,1,Roma Norte,Cuauhtémoc,6700,19.42397,-99.15571,4,1,2,2,1100,1897,285,5,0,252,20/1/14,5/5/19,95,0,0,0,1,0,0,0,1,1,0,0,0,0,65.80833282,1,7.003065459,Arena México,0.445556109,Cuauhtémoc_1_2,0.223620194
